Date,Month_Number,Month_Name,Month_Year,Year,Department,Category,Region,Cost_Center,Budget,Actual
01-01-2023,1,Jan,Jan-23,2023,HR,Supplies,West,CC-300,6837.43,7015.71
01-01-2023,1,Jan,Jan-23,2023,HR,Training,North,CC-300,5623.22,5751.87
01-01-2023,1,Jan,Jan-23,2023,HR,Training,South,CC-300,5414.49,5381.74
01-01-2023,1,Jan,Jan-23,2023,HR,Training,East,CC-300,5408.92,5254.4
01-01-2023,1,Jan,Jan-23,2023,HR,Training,West,CC-300,6080.89,6254.74
01-01-2023,1,Jan,Jan-23,2023,Operations,Salaries,North,CC-400,55342.93,63441.54
01-01-2023,1,Jan,Jan-23,2023,Operations,Salaries,South,CC-400,50881.77,56510.48
01-01-2023,1,Jan,Jan-23,2023,Operations,Salaries,East,CC-400,52102.02,46611.68
01-01-2023,1,Jan,Jan-23,2023,Operations,Salaries,West,CC-400,55374.37,63889.39
01-01-2023,1,Jan,Jan-23,2023,Operations,Software,North,CC-400,20133.73,22512.5
01-01-2023,1,Jan,Jan-23,2023,Operations,Software,South,CC-400,19222.82,20370.07
01-01-2023,1,Jan,Jan-23,2023,Operations,Software,East,CC-400,19635.72,18941.12
01-01-2023,1,Jan,Jan-23,2023,Operations,Software,West,CC-400,22005.83,22291.27
01-01-2023,1,Jan,Jan-23,2023,Operations,Travel,North,CC-400,11249.56,10424.02
01-01-2023,1,Jan,Jan-23,2023,Operations,Travel,South,CC-400,11142.52,10018.24
01-01-2023,1,Jan,Jan-23,2023,Operations,Travel,East,CC-400,11381.13,11832.7
01-01-2023,1,Jan,Jan-23,2023,Operations,Travel,West,CC-400,12257.15,13410.98
01-01-2023,1,Jan,Jan-23,2023,Operations,Supplies,North,CC-400,11897.54,10794.57
01-01-2023,1,Jan,Jan-23,2023,Operations,Supplies,South,CC-400,11505.11,10999.87
01-01-2023,1,Jan,Jan-23,2023,Operations,Supplies,East,CC-400,11927.93,13846.18
01-01-2023,1,Jan,Jan-23,2023,Operations,Supplies,West,CC-400,12961.53,11262.44
01-01-2023,1,Jan,Jan-23,2023,Operations,Training,North,CC-400,7787.1,6910.72
01-01-2023,1,Jan,Jan-23,2023,Operations,Training,South,CC-400,7314.33,8568.3
01-01-2023,1,Jan,Jan-23,2023,Operations,Training,East,CC-400,7694.86,8592.59
01-01-2023,1,Jan,Jan-23,2023,Operations,Training,West,CC-400,8162.11,7010.77
01-01-2023,1,Jan,Jan-23,2023,Finance,Salaries,North,CC-500,44115.06,45181.58
01-01-2023,1,Jan,Jan-23,2023,Finance,Salaries,South,CC-500,41235.99,41979.65
01-01-2023,1,Jan,Jan-23,2023,Finance,Salaries,East,CC-500,42259.83,41784.95
01-01-2023,1,Jan,Jan-23,2023,Finance,Salaries,West,CC-500,44740.15,45753.72
01-01-2023,1,Jan,Jan-23,2023,Finance,Software,North,CC-500,16434.41,15935.63
01-01-2023,1,Jan,Jan-23,2023,Finance,Software,South,CC-500,15911.45,16285.57
01-01-2023,1,Jan,Jan-23,2023,Finance,Software,East,CC-500,15583.9,15619.74
01-01-2023,1,Jan,Jan-23,2023,Finance,Software,West,CC-500,17453.5,17000.51
01-01-2023,1,Jan,Jan-23,2023,Finance,Travel,North,CC-500,7128.11,6860.03
01-01-2023,1,Jan,Jan-23,2023,Finance,Travel,South,CC-500,6477.52,6168.8
01-01-2023,1,Jan,Jan-23,2023,Finance,Travel,East,CC-500,6569.94,6299.41
01-01-2023,1,Jan,Jan-23,2023,Finance,Travel,West,CC-500,7262,7377.51
01-01-2023,1,Jan,Jan-23,2023,Finance,Supplies,North,CC-500,7131.26,7188
01-01-2023,1,Jan,Jan-23,2023,Finance,Supplies,South,CC-500,7004.53,6642.17
01-01-2023,1,Jan,Jan-23,2023,Finance,Supplies,East,CC-500,6889.43,6726.34
01-01-2023,1,Jan,Jan-23,2023,Finance,Supplies,West,CC-500,7452.37,7098.47
01-01-2023,1,Jan,Jan-23,2023,Finance,Training,North,CC-500,6188.81,5981.92
01-01-2023,1,Jan,Jan-23,2023,Finance,Training,South,CC-500,5721.93,5917.2
01-01-2023,1,Jan,Jan-23,2023,Finance,Training,East,CC-500,6123.69,6431.36
01-01-2023,1,Jan,Jan-23,2023,Finance,Training,West,CC-500,6536.34,6738.16
01-02-2023,2,Feb,Feb-23,2023,Marketing,Salaries,North,CC-100,49754.89,55439.81
01-02-2023,2,Feb,Feb-23,2023,Marketing,Salaries,South,CC-100,46599.93,55215.09
01-02-2023,2,Feb,Feb-23,2023,Marketing,Salaries,East,CC-100,47182.83,54662.24
01-02-2023,2,Feb,Feb-23,2023,Marketing,Salaries,West,CC-100,49737.36,56993.04
01-02-2023,2,Feb,Feb-23,2023,Marketing,Software,North,CC-100,18343.05,20795.77
01-02-2023,2,Feb,Feb-23,2023,Marketing,Software,South,CC-100,17553.63,20049.3
01-02-2023,2,Feb,Feb-23,2023,Marketing,Software,East,CC-100,17878.62,21540.8
01-02-2023,2,Feb,Feb-23,2023,Marketing,Software,West,CC-100,19343.96,21929.07
01-02-2023,2,Feb,Feb-23,2023,Marketing,Travel,North,CC-100,10705.53,12550.66
01-02-2023,2,Feb,Feb-23,2023,Marketing,Travel,South,CC-100,9996.77,11579.89
01-02-2023,2,Feb,Feb-23,2023,Marketing,Travel,East,CC-100,10324.28,11610.74
01-02-2023,2,Feb,Feb-23,2023,Marketing,Travel,West,CC-100,11129.22,12417.5
01-02-2023,2,Feb,Feb-23,2023,Marketing,Supplies,North,CC-100,7957.81,9253.56
01-02-2023,2,Feb,Feb-23,2023,Marketing,Supplies,South,CC-100,7963.01,8950.12
01-02-2023,2,Feb,Feb-23,2023,Marketing,Supplies,East,CC-100,8061.35,9398.9
01-02-2023,2,Feb,Feb-23,2023,Marketing,Supplies,West,CC-100,8622.71,10249.91
01-02-2023,2,Feb,Feb-23,2023,Marketing,Training,North,CC-100,8434.32,9379.66
01-02-2023,2,Feb,Feb-23,2023,Marketing,Training,South,CC-100,7824.33,9061.91
01-02-2023,2,Feb,Feb-23,2023,Marketing,Training,East,CC-100,8128.02,9415.05
01-02-2023,2,Feb,Feb-23,2023,Marketing,Training,West,CC-100,8871.24,10215.27
01-02-2023,2,Feb,Feb-23,2023,IT,Salaries,North,CC-200,52891.27,44927.52
01-02-2023,2,Feb,Feb-23,2023,IT,Salaries,South,CC-200,47841,42169.73
01-02-2023,2,Feb,Feb-23,2023,IT,Salaries,East,CC-200,50879.48,44805.58
01-02-2023,2,Feb,Feb-23,2023,IT,Salaries,West,CC-200,54839.67,48481.05
01-02-2023,2,Feb,Feb-23,2023,IT,Software,North,CC-200,28247.19,24286.76
01-02-2023,2,Feb,Feb-23,2023,IT,Software,South,CC-200,26524.13,23757.47
01-02-2023,2,Feb,Feb-23,2023,IT,Software,East,CC-200,27456.19,24365.28
01-02-2023,2,Feb,Feb-23,2023,IT,Software,West,CC-200,30359.44,26978.86
01-02-2023,2,Feb,Feb-23,2023,IT,Travel,North,CC-200,10966.03,9905.05
01-02-2023,2,Feb,Feb-23,2023,IT,Travel,South,CC-200,10796.24,9305.54
01-02-2023,2,Feb,Feb-23,2023,IT,Travel,East,CC-200,10814.42,9274.52
01-02-2023,2,Feb,Feb-23,2023,IT,Travel,West,CC-200,11605.18,9862.52
01-02-2023,2,Feb,Feb-23,2023,IT,Supplies,North,CC-200,8760.65,7569.65
01-02-2023,2,Feb,Feb-23,2023,IT,Supplies,South,CC-200,8147.45,7107.32
01-02-2023,2,Feb,Feb-23,2023,IT,Supplies,East,CC-200,8483.4,7329.95
01-02-2023,2,Feb,Feb-23,2023,IT,Supplies,West,CC-200,9129.68,7942.99
01-02-2023,2,Feb,Feb-23,2023,IT,Training,North,CC-200,7191.39,6493.38
01-02-2023,2,Feb,Feb-23,2023,IT,Training,South,CC-200,7070.91,6090.23
01-02-2023,2,Feb,Feb-23,2023,IT,Training,East,CC-200,6948.72,5947.32
01-02-2023,2,Feb,Feb-23,2023,IT,Training,West,CC-200,7778.42,6743.68
01-02-2023,2,Feb,Feb-23,2023,HR,Salaries,North,CC-300,45442.98,43741.31
01-02-2023,2,Feb,Feb-23,2023,HR,Salaries,South,CC-300,41683.08,42200.93
01-02-2023,2,Feb,Feb-23,2023,HR,Salaries,East,CC-300,43023.9,43536.9
01-02-2023,2,Feb,Feb-23,2023,HR,Salaries,West,CC-300,47613.79,49101.7
01-02-2023,2,Feb,Feb-23,2023,HR,Software,North,CC-300,15495.25,15664.08
01-02-2023,2,Feb,Feb-23,2023,HR,Software,South,CC-300,14309.16,13988.41
01-02-2023,2,Feb,Feb-23,2023,HR,Software,East,CC-300,15085.92,15310.37
01-02-2023,2,Feb,Feb-23,2023,HR,Software,West,CC-300,15578.81,15701.13
01-02-2023,2,Feb,Feb-23,2023,HR,Travel,North,CC-300,8495.21,8684.82
01-02-2023,2,Feb,Feb-23,2023,HR,Travel,South,CC-300,8250.39,8048.54
01-02-2023,2,Feb,Feb-23,2023,HR,Travel,East,CC-300,8133.17,8355.51
01-02-2023,2,Feb,Feb-23,2023,HR,Travel,West,CC-300,8772.7,8503.63
01-02-2023,2,Feb,Feb-23,2023,HR,Supplies,North,CC-300,6892.49,6914.42
01-02-2023,2,Feb,Feb-23,2023,HR,Supplies,South,CC-300,6426.48,6408.59
01-02-2023,2,Feb,Feb-23,2023,HR,Supplies,East,CC-300,6678.47,6609.16
01-02-2023,2,Feb,Feb-23,2023,HR,Supplies,West,CC-300,7043.13,7168.81
01-02-2023,2,Feb,Feb-23,2023,HR,Training,North,CC-300,5621.33,5613.35
01-02-2023,2,Feb,Feb-23,2023,HR,Training,South,CC-300,5455.23,5291.58
01-02-2023,2,Feb,Feb-23,2023,HR,Training,East,CC-300,5500.96,5428.66
01-02-2023,2,Feb,Feb-23,2023,HR,Training,West,CC-300,6005.19,6043.02
01-02-2023,2,Feb,Feb-23,2023,Operations,Salaries,North,CC-400,54316.84,50584.35
01-02-2023,2,Feb,Feb-23,2023,Operations,Salaries,South,CC-400,51394.06,44718.83
01-02-2023,2,Feb,Feb-23,2023,Operations,Salaries,East,CC-400,52942.7,49424.16
01-02-2023,2,Feb,Feb-23,2023,Operations,Salaries,West,CC-400,56960.65,61964.65
01-02-2023,2,Feb,Feb-23,2023,Operations,Software,North,CC-400,20996.29,20297.41
01-02-2023,2,Feb,Feb-23,2023,Operations,Software,South,CC-400,19854.37,19865.67
01-02-2023,2,Feb,Feb-23,2023,Operations,Software,East,CC-400,20031.12,20610.51
01-02-2023,2,Feb,Feb-23,2023,Operations,Software,West,CC-400,22115.1,25539.01
01-02-2023,2,Feb,Feb-23,2023,Operations,Travel,North,CC-400,11717.61,13027.84
01-02-2023,2,Feb,Feb-23,2023,Operations,Travel,South,CC-400,11360.66,11477.71
01-02-2023,2,Feb,Feb-23,2023,Operations,Travel,East,CC-400,11070.75,12392.58
01-02-2023,2,Feb,Feb-23,2023,Operations,Travel,West,CC-400,11997.84,11525.1
01-02-2023,2,Feb,Feb-23,2023,Operations,Supplies,North,CC-400,12151.32,13208.57
01-02-2023,2,Feb,Feb-23,2023,Operations,Supplies,South,CC-400,11921.53,13485.61
01-02-2023,2,Feb,Feb-23,2023,Operations,Supplies,East,CC-400,11682.67,12199.8
01-02-2023,2,Feb,Feb-23,2023,Operations,Supplies,West,CC-400,12662.3,14919.46
01-02-2023,2,Feb,Feb-23,2023,Operations,Training,North,CC-400,7929.63,7637.1
01-02-2023,2,Feb,Feb-23,2023,Operations,Training,South,CC-400,7514.99,7416.41
01-02-2023,2,Feb,Feb-23,2023,Operations,Training,East,CC-400,7352.63,6818.56
01-02-2023,2,Feb,Feb-23,2023,Operations,Training,West,CC-400,7941.73,7300.29
01-02-2023,2,Feb,Feb-23,2023,Finance,Salaries,North,CC-500,44974.89,45533.31
01-02-2023,2,Feb,Feb-23,2023,Finance,Salaries,South,CC-500,42794.61,41218.13
01-02-2023,2,Feb,Feb-23,2023,Finance,Salaries,East,CC-500,42146.58,40582.82
01-02-2023,2,Feb,Feb-23,2023,Finance,Salaries,West,CC-500,45209.06,44755.5
01-02-2023,2,Feb,Feb-23,2023,Finance,Software,North,CC-500,16326.15,16836.06
01-02-2023,2,Feb,Feb-23,2023,Finance,Software,South,CC-500,15582.95,15255.93
01-02-2023,2,Feb,Feb-23,2023,Finance,Software,East,CC-500,16243.82,16097.9
01-02-2023,2,Feb,Feb-23,2023,Finance,Software,West,CC-500,17025.26,17658.69
01-02-2023,2,Feb,Feb-23,2023,Finance,Travel,North,CC-500,7084.86,7243.33
01-02-2023,2,Feb,Feb-23,2023,Finance,Travel,South,CC-500,6504.01,6422.33
01-02-2023,2,Feb,Feb-23,2023,Finance,Travel,East,CC-500,6751.42,6981.56
01-02-2023,2,Feb,Feb-23,2023,Finance,Travel,West,CC-500,7412.3,7673.96
01-02-2023,2,Feb,Feb-23,2023,Finance,Supplies,North,CC-500,7461.04,7578.77
01-02-2023,2,Feb,Feb-23,2023,Finance,Supplies,South,CC-500,6862.33,6865.83
01-02-2023,2,Feb,Feb-23,2023,Finance,Supplies,East,CC-500,6902.43,6889.43
01-02-2023,2,Feb,Feb-23,2023,Finance,Supplies,West,CC-500,7624.28,7354.62
01-02-2023,2,Feb,Feb-23,2023,Finance,Training,North,CC-500,6126.3,5885.08
01-02-2023,2,Feb,Feb-23,2023,Finance,Training,South,CC-500,5920.34,5817.83
01-02-2023,2,Feb,Feb-23,2023,Finance,Training,East,CC-500,5880.86,5773.67
01-02-2023,2,Feb,Feb-23,2023,Finance,Training,West,CC-500,6536.24,6867.65
01-03-2023,3,Mar,Mar-23,2023,Marketing,Salaries,North,CC-100,49223.87,58361.33
01-03-2023,3,Mar,Mar-23,2023,Marketing,Salaries,South,CC-100,47518.67,57168.21
01-03-2023,3,Mar,Mar-23,2023,Marketing,Salaries,East,CC-100,48907.95,54609.47
01-03-2023,3,Mar,Mar-23,2023,Marketing,Salaries,West,CC-100,51020.53,59126.22
01-03-2023,3,Mar,Mar-23,2023,Marketing,Software,North,CC-100,19306.61,23040.16
01-03-2023,3,Mar,Mar-23,2023,Marketing,Software,South,CC-100,18116.35,21221.33
01-03-2023,3,Mar,Mar-23,2023,Marketing,Software,East,CC-100,17818.96,19782.95
01-03-2023,3,Mar,Mar-23,2023,Marketing,Software,West,CC-100,19494.46,23348.8
01-03-2023,3,Mar,Mar-23,2023,Marketing,Travel,North,CC-100,10865.1,12471.62
01-03-2023,3,Mar,Mar-23,2023,Marketing,Travel,South,CC-100,9799.16,11391.79
01-03-2023,3,Mar,Mar-23,2023,Marketing,Travel,East,CC-100,10515.9,12317.38
01-03-2023,3,Mar,Mar-23,2023,Marketing,Travel,West,CC-100,10888.61,11936.49
01-03-2023,3,Mar,Mar-23,2023,Marketing,Supplies,North,CC-100,8301.48,9776.97
01-03-2023,3,Mar,Mar-23,2023,Marketing,Supplies,South,CC-100,7987.67,9433.5
01-03-2023,3,Mar,Mar-23,2023,Marketing,Supplies,East,CC-100,7759.95,8739.2
01-03-2023,3,Mar,Mar-23,2023,Marketing,Supplies,West,CC-100,8717.47,9595.95
01-03-2023,3,Mar,Mar-23,2023,Marketing,Training,North,CC-100,8539.67,9400.34
01-03-2023,3,Mar,Mar-23,2023,Marketing,Training,South,CC-100,8230.44,9555.85
01-03-2023,3,Mar,Mar-23,2023,Marketing,Training,East,CC-100,8377.32,9573.79
01-03-2023,3,Mar,Mar-23,2023,Marketing,Training,West,CC-100,8672.04,10030.45
01-03-2023,3,Mar,Mar-23,2023,IT,Salaries,North,CC-200,51229.34,45529.56
01-03-2023,3,Mar,Mar-23,2023,IT,Salaries,South,CC-200,48179.17,41957.82
01-03-2023,3,Mar,Mar-23,2023,IT,Salaries,East,CC-200,51348.42,46022.15
01-03-2023,3,Mar,Mar-23,2023,IT,Salaries,West,CC-200,53649.71,46038.11
01-03-2023,3,Mar,Mar-23,2023,IT,Software,North,CC-200,29542.08,26195.83
01-03-2023,3,Mar,Mar-23,2023,IT,Software,South,CC-200,27116.91,24288.88
01-03-2023,3,Mar,Mar-23,2023,IT,Software,East,CC-200,27239.19,23446.2
01-03-2023,3,Mar,Mar-23,2023,IT,Software,West,CC-200,29266.82,24879.38
01-03-2023,3,Mar,Mar-23,2023,IT,Travel,North,CC-200,11217.89,9712.27
01-03-2023,3,Mar,Mar-23,2023,IT,Travel,South,CC-200,10879.59,9664.59
01-03-2023,3,Mar,Mar-23,2023,IT,Travel,East,CC-200,10664.28,9492.37
01-03-2023,3,Mar,Mar-23,2023,IT,Travel,West,CC-200,11439.08,10249.21
01-03-2023,3,Mar,Mar-23,2023,IT,Supplies,North,CC-200,8781,7746.92
01-03-2023,3,Mar,Mar-23,2023,IT,Supplies,South,CC-200,8135.88,6988.79
01-03-2023,3,Mar,Mar-23,2023,IT,Supplies,East,CC-200,8229.35,7322.82
01-03-2023,3,Mar,Mar-23,2023,IT,Supplies,West,CC-200,9024.45,8073.71
01-03-2023,3,Mar,Mar-23,2023,IT,Training,North,CC-200,7391.28,6522.5
01-03-2023,3,Mar,Mar-23,2023,IT,Training,South,CC-200,7132.52,6404.31
01-03-2023,3,Mar,Mar-23,2023,IT,Training,East,CC-200,7326.91,6303.54
01-03-2023,3,Mar,Mar-23,2023,IT,Training,West,CC-200,7522.73,6700.38
01-03-2023,3,Mar,Mar-23,2023,HR,Salaries,North,CC-300,45381.81,44779.71
01-03-2023,3,Mar,Mar-23,2023,HR,Salaries,South,CC-300,44336.09,42882.77
01-03-2023,3,Mar,Mar-23,2023,HR,Salaries,East,CC-300,43355.59,42187.49
01-03-2023,3,Mar,Mar-23,2023,HR,Salaries,West,CC-300,47153.69,46204.69
01-03-2023,3,Mar,Mar-23,2023,HR,Software,North,CC-300,15064.76,14828.87
01-03-2023,3,Mar,Mar-23,2023,HR,Software,South,CC-300,14849.97,14531.17
01-03-2023,3,Mar,Mar-23,2023,HR,Software,East,CC-300,14879.83,14657.82
01-03-2023,3,Mar,Mar-23,2023,HR,Software,West,CC-300,15650.25,15831.38
01-03-2023,3,Mar,Mar-23,2023,HR,Travel,North,CC-300,8680.37,8645.94
01-03-2023,3,Mar,Mar-23,2023,HR,Travel,South,CC-300,8220.93,8416.37
01-03-2023,3,Mar,Mar-23,2023,HR,Travel,East,CC-300,8302.29,8171.56
01-03-2023,3,Mar,Mar-23,2023,HR,Travel,West,CC-300,9002.16,9051.68
01-03-2023,3,Mar,Mar-23,2023,HR,Supplies,North,CC-300,6679.56,6790.18
01-03-2023,3,Mar,Mar-23,2023,HR,Supplies,South,CC-300,6405.4,6441.36
01-03-2023,3,Mar,Mar-23,2023,HR,Supplies,East,CC-300,6373.62,6287.49
01-03-2023,3,Mar,Mar-23,2023,HR,Supplies,West,CC-300,6803.74,6613.92
01-03-2023,3,Mar,Mar-23,2023,HR,Training,North,CC-300,5648.95,5660.27
01-03-2023,3,Mar,Mar-23,2023,HR,Training,South,CC-300,5526.15,5594.89
01-03-2023,3,Mar,Mar-23,2023,HR,Training,East,CC-300,5448.74,5577.52
01-03-2023,3,Mar,Mar-23,2023,HR,Training,West,CC-300,5887.11,6026.06
01-03-2023,3,Mar,Mar-23,2023,Operations,Salaries,North,CC-400,54200.5,62491.16
01-03-2023,3,Mar,Mar-23,2023,Operations,Salaries,South,CC-400,52665.94,61715.72
01-03-2023,3,Mar,Mar-23,2023,Operations,Salaries,East,CC-400,54412.86,52652.27
01-03-2023,3,Mar,Mar-23,2023,Operations,Salaries,West,CC-400,57493.38,53332.93
01-03-2023,3,Mar,Mar-23,2023,Operations,Software,North,CC-400,20727.5,18171.24
01-03-2023,3,Mar,Mar-23,2023,Operations,Software,South,CC-400,19755.81,16995.86
01-03-2023,3,Mar,Mar-23,2023,Operations,Software,East,CC-400,20621.31,22513.81
01-03-2023,3,Mar,Mar-23,2023,Operations,Software,West,CC-400,21531.82,24696.02
01-03-2023,3,Mar,Mar-23,2023,Operations,Travel,North,CC-400,11523.69,10480.67
01-03-2023,3,Mar,Mar-23,2023,Operations,Travel,South,CC-400,10995.86,11352
01-03-2023,3,Mar,Mar-23,2023,Operations,Travel,East,CC-400,11104.26,9703.33
01-03-2023,3,Mar,Mar-23,2023,Operations,Travel,West,CC-400,12308.18,11172.97
01-03-2023,3,Mar,Mar-23,2023,Operations,Supplies,North,CC-400,12660.1,13091.77
01-03-2023,3,Mar,Mar-23,2023,Operations,Supplies,South,CC-400,11616.49,10197.23
01-03-2023,3,Mar,Mar-23,2023,Operations,Supplies,East,CC-400,11869.11,12813.54
01-03-2023,3,Mar,Mar-23,2023,Operations,Supplies,West,CC-400,12486.56,13048.23
01-03-2023,3,Mar,Mar-23,2023,Operations,Training,North,CC-400,8035.1,7579.17
01-03-2023,3,Mar,Mar-23,2023,Operations,Training,South,CC-400,7501.33,7428.41
01-03-2023,3,Mar,Mar-23,2023,Operations,Training,East,CC-400,7733.26,8095.2
01-03-2023,3,Mar,Mar-23,2023,Operations,Training,West,CC-400,8400.79,8354.23
01-03-2023,3,Mar,Mar-23,2023,Finance,Salaries,North,CC-500,42721.93,44004.42
01-03-2023,3,Mar,Mar-23,2023,Finance,Salaries,South,CC-500,41641.68,40262.67
01-03-2023,3,Mar,Mar-23,2023,Finance,Salaries,East,CC-500,42458.3,42930.33
01-03-2023,3,Mar,Mar-23,2023,Finance,Salaries,West,CC-500,46984.46,45200.38
01-03-2023,3,Mar,Mar-23,2023,Finance,Software,North,CC-500,17126.55,17730.5
01-03-2023,3,Mar,Mar-23,2023,Finance,Software,South,CC-500,15922.68,16417.77
01-03-2023,3,Mar,Mar-23,2023,Finance,Software,East,CC-500,16159.01,16264.76
01-03-2023,3,Mar,Mar-23,2023,Finance,Software,West,CC-500,17658.06,18183.11
01-03-2023,3,Mar,Mar-23,2023,Finance,Travel,North,CC-500,6905.13,7236.6
01-03-2023,3,Mar,Mar-23,2023,Finance,Travel,South,CC-500,6849.94,6536.97
01-03-2023,3,Mar,Mar-23,2023,Finance,Travel,East,CC-500,6967.28,6698.63
01-03-2023,3,Mar,Mar-23,2023,Finance,Travel,West,CC-500,7293.44,7511.17
01-03-2023,3,Mar,Mar-23,2023,Finance,Supplies,North,CC-500,7288.51,7172.25
01-03-2023,3,Mar,Mar-23,2023,Finance,Supplies,South,CC-500,7012.73,6963.16
01-03-2023,3,Mar,Mar-23,2023,Finance,Supplies,East,CC-500,7307.27,7239.45
01-03-2023,3,Mar,Mar-23,2023,Finance,Supplies,West,CC-500,7563.59,7428.28
01-03-2023,3,Mar,Mar-23,2023,Finance,Training,North,CC-500,6159.87,6253.42
